title,review,homepage,discount,original_price,publish_date,image
Rise of the Tomb Raider™,"Very Positive<br>92% of the 35,257 user reviews for this game are positive.",https://store.steampowered.com/app/391220/Rise_of_the_Tomb_Raider/?snr=1_7_7_204_150_1,-80%,¥ 160,"28 Jan, 2016",https://media.st.dl.bscstorage.net/steam/apps/391220/capsule_sm_120.jpg?t=1540399490
Euro Truck Simulator 2,"Overwhelmingly Positive<br>96% of the 125,365 user reviews for this game are positive.",https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/?snr=1_7_7_204_150_1,-76%,¥ 99,"12 Oct, 2012",https://media.st.dl.bscstorage.net/steam/apps/227300/capsule_sm_120.jpg?t=1547644223
Shadow of the Tomb Raider,"Mostly Positive<br>71% of the 8,762 user reviews for this game are positive.",https://store.steampowered.com/app/750920/Shadow_of_the_Tomb_Raider/?snr=1_7_7_204_150_1,-50%,¥ 379,"14 Sep, 2018",https://media.st.dl.bscstorage.net/steam/apps/750920/capsule_sm_120.jpg?t=1547572174
Graveyard Keeper,"Mostly Positive<br>75% of the 4,827 user reviews for this game are positive.",https://store.steampowered.com/app/599140/Graveyard_Keeper/?snr=1_7_7_204_150_1,-26%,¥ 70,"15 Aug, 2018",https://media.st.dl.bscstorage.net/steam/apps/599140/capsule_sm_120.jpg?t=1540833315
Just Cause™ 3,"Mostly Positive<br>73% of the 34,901 user reviews for this game are positive.",https://store.steampowered.com/app/225540/Just_Cause_3/?snr=1_7_7_204_150_1,-85%,¥ 160,"30 Nov, 2015",https://media.st.dl.bscstorage.net/steam/apps/225540/capsule_sm_120.jpg?t=1543946570
"Warhammer 40,000: Gladius - Relics of War",Mostly Positive<br>77% of the 954 user reviews for this game are positive.,https://store.steampowered.com/app/489630/Warhammer_40000_Gladius__Relics_of_War/?snr=1_7_7_204_150_1,-25%,¥ 116,"12 Jul, 2018",https://media.st.dl.bscstorage.net/steam/apps/489630/capsule_sm_120.jpg?t=1547564532
Pummel Party,Very Positive<br>84% of the 804 user reviews for this game are positive.,https://store.steampowered.com/app/880940/Pummel_Party/?snr=1_7_7_204_150_1,-34%,¥ 50,"20 Sep, 2018",https://media.st.dl.bscstorage.net/steam/apps/880940/capsule_sm_120.jpg?t=1545368490
Stick Fight: The Game,"Very Positive<br>89% of the 20,886 user reviews for this game are positive.",https://store.steampowered.com/app/674940/Stick_Fight_The_Game/?snr=1_7_7_204_150_1,-29%,¥ 21,"28 Sep, 2017",https://media.st.dl.bscstorage.net/steam/apps/674940/capsule_sm_120.jpg?t=1545315419
Niche - a genetics survival game,"Very Positive<br>88% of the 1,805 user reviews for this game are positive.",https://store.steampowered.com/app/440650/Niche__a_genetics_survival_game/?snr=1_7_7_204_150_1,-67%,¥ 60,"21 Sep, 2017",https://media.st.dl.bscstorage.net/steam/apps/440650/capsule_sm_120.jpg?t=1547660128
了不起的修仙模拟器,"Mixed<br>57% of the 1,676 user reviews for this game are positive.",https://store.steampowered.com/app/955900/_/?snr=1_7_7_204_150_1,-6%,¥ 68,"10 Jan, 2019",https://media.st.dl.bscstorage.net/steam/apps/955900/capsule_sm_120.jpg?t=1547367353
Battlefleet Gothic: Armada 2,,https://store.steampowered.com/app/573100/Battlefleet_Gothic_Armada_2/?snr=1_7_7_204_150_1,-10%,¥ 128,"24 Jan, 2019",https://media.st.dl.bscstorage.net/steam/apps/573100/capsule_sm_120.jpg?t=1547652396
Tomb Raider,"Overwhelmingly Positive<br>95% of the 73,193 user reviews for this game are positive.",https://store.steampowered.com/app/203160/Tomb_Raider/?snr=1_7_7_204_150_1,-85%,¥ 68,"4 Mar, 2013",https://media.st.dl.bscstorage.net/steam/apps/203160/capsule_sm_120.jpg?t=1536940808
American Truck Simulator,"Very Positive<br>91% of the 19,883 user reviews for this game are positive.",https://store.steampowered.com/app/270880/American_Truck_Simulator/?snr=1_7_7_204_150_1,-76%,¥ 99,"2 Feb, 2016",https://media.st.dl.bscstorage.net/steam/apps/270880/capsule_sm_120.jpg?t=1547485111
Murdered: Soul Suspect,"Very Positive<br>85% of the 5,262 user reviews for this game are positive.",https://store.steampowered.com/app/233290/Murdered_Soul_Suspect/?snr=1_7_7_204_150_1,-91%,¥ 119,"3 Jun, 2014",https://media.st.dl.bscstorage.net/steam/apps/233290/capsule_sm_120.jpg?t=1503075903
Thief Simulator,"Mostly Positive<br>79% of the 1,705 user reviews for this game are positive.",https://store.steampowered.com/app/704850/Thief_Simulator/?snr=1_7_7_204_150_1,-26%,¥ 70,"9 Nov, 2018",https://media.st.dl.bscstorage.net/steam/apps/704850/capsule_sm_120.jpg?t=1545383128
Sleeping Dogs: Definitive Edition,"Very Positive<br>88% of the 13,836 user reviews for this game are positive.",https://store.steampowered.com/app/307690/Sleeping_Dogs_Definitive_Edition/?snr=1_7_7_204_150_1,-85%,¥ 88,"14 Oct, 2014",https://media.st.dl.bscstorage.net/steam/apps/307690/capsule_sm_120.jpg?t=1479335030
Deus Ex: Mankind Divided,"Mixed<br>68% of the 14,456 user reviews for this game are positive.",https://store.steampowered.com/app/337000/Deus_Ex_Mankind_Divided/?snr=1_7_7_204_150_1,-85%,¥ 160,"23 Aug, 2016",https://media.st.dl.bscstorage.net/steam/apps/337000/capsule_sm_120.jpg?t=1513077042
"Warhammer 40,000: Gladius Complete Edition",Mostly Positive<br>78% of the 989 user reviews for games in this bundle are positive.,https://store.steampowered.com/bundle/9211/Warhammer_40000_Gladius_Complete_Edition/?snr=1_7_7_204_150_1,-29%,¥ 236,,https://media.st.dl.bscstorage.net/steam/bundles/9211/seotwyp6z1yjpflq/capsule_sm_120.jpg?t=1547484533
Shadow of the Tomb Raider Croft Edition,"Mostly Positive<br>71% of the 8,843 user reviews for games in this bundle are positive.",https://store.steampowered.com/bundle/6973/Shadow_of_the_Tomb_Raider_Croft_Edition/?snr=1_7_7_204_150_1,-56%,¥ 692,,https://media.st.dl.bscstorage.net/steam/bundles/6973/8e1rvdog9j3w16jx/capsule_sm_120.jpg?t=1546514287
Just Cause 3 XXL Edition,"Mostly Positive<br>73% of the 36,074 user reviews for games in this bundle are positive.",https://store.steampowered.com/bundle/7598/Just_Cause_3_XXL_Edition/?snr=1_7_7_204_150_1,-87%,¥ 349,,https://media.st.dl.bscstorage.net/steam/bundles/7598/qgol10m1sn6f6pyr/capsule_sm_120.jpg?t=1542038958
Euro Truck Simulator 2 Essentials,"Overwhelmingly Positive<br>96% of the 133,719 user reviews for games in this bundle are positive.",https://store.steampowered.com/bundle/1923/Euro_Truck_Simulator_2_Essentials/?snr=1_7_7_204_150_1,-77%,¥ 296,,https://media.st.dl.bscstorage.net/steam/bundles/1923/hxbutxuvno2u8duj/capsule_sm_120.jpg?t=1479770978
Life is Strange: Before the Storm,"Very Positive<br>93% of the 19,944 user reviews for this game are positive.",https://store.steampowered.com/app/554620/Life_is_Strange_Before_the_Storm/?snr=1_7_7_204_150_1,-71%,¥ 58,"31 Aug, 2017",https://media.st.dl.bscstorage.net/steam/apps/554620/capsule_sm_120.jpg?t=1538148478
Thief,"Mostly Positive<br>70% of the 9,088 user reviews for this game are positive.",https://store.steampowered.com/app/239160/Thief/?snr=1_7_7_204_150_1,-85%,¥ 88,"24 Feb, 2014",https://media.st.dl.bscstorage.net/steam/apps/239160/capsule_sm_120.jpg?t=1530655519
Shadow Tactics: Blades of the Shogun,"Overwhelmingly Positive<br>95% of the 6,468 user reviews for this game are positive.",https://store.steampowered.com/app/418240/Shadow_Tactics_Blades_of_the_Shogun/?snr=1_7_7_204_150_1,-60%,¥ 115,"6 Dec, 2016",https://media.st.dl.bscstorage.net/steam/apps/418240/capsule_sm_120.jpg?t=1547119068
Just Cause 2,"Very Positive<br>90% of the 27,022 user reviews for this game are positive.",https://store.steampowered.com/app/8190/Just_Cause_2/?snr=1_7_7_204_150_1,-92%,¥ 48,"23 Mar, 2010",https://media.st.dl.bscstorage.net/steam/apps/8190/capsule_sm_120.jpg?t=1543946597
Rise of the Tomb Raider™,"Very Positive<br>92% of the 35,257 user reviews for this game are positive.",https://store.steampowered.com/app/391220/Rise_of_the_Tomb_Raider/?snr=1_7_7_204_150_1,-80%,¥ 160,"28 Jan, 2016",https://media.st.dl.bscstorage.net/steam/apps/391220/capsule_sm_120.jpg?t=1540399490
Euro Truck Simulator 2,"Overwhelmingly Positive<br>96% of the 125,365 user reviews for this game are positive.",https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/?snr=1_7_7_204_150_1,-76%,¥ 99,"12 Oct, 2012",https://media.st.dl.bscstorage.net/steam/apps/227300/capsule_sm_120.jpg?t=1547644223
Shadow of the Tomb Raider,"Mostly Positive<br>71% of the 8,762 user reviews for this game are positive.",https://store.steampowered.com/app/750920/Shadow_of_the_Tomb_Raider/?snr=1_7_7_204_150_1,-50%,¥ 379,"14 Sep, 2018",https://media.st.dl.bscstorage.net/steam/apps/750920/capsule_sm_120.jpg?t=1547572174
Graveyard Keeper,"Mostly Positive<br>75% of the 4,827 user reviews for this game are positive.",https://store.steampowered.com/app/599140/Graveyard_Keeper/?snr=1_7_7_204_150_1,-26%,¥ 70,"15 Aug, 2018",https://media.st.dl.bscstorage.net/steam/apps/599140/capsule_sm_120.jpg?t=1540833315
Just Cause™ 3,"Mostly Positive<br>73% of the 34,901 user reviews for this game are positive.",https://store.steampowered.com/app/225540/Just_Cause_3/?snr=1_7_7_204_150_1,-85%,¥ 160,"30 Nov, 2015",https://media.st.dl.bscstorage.net/steam/apps/225540/capsule_sm_120.jpg?t=1543946570
"Warhammer 40,000: Gladius - Relics of War",Mostly Positive<br>77% of the 954 user reviews for this game are positive.,https://store.steampowered.com/app/489630/Warhammer_40000_Gladius__Relics_of_War/?snr=1_7_7_204_150_1,-25%,¥ 116,"12 Jul, 2018",https://media.st.dl.bscstorage.net/steam/apps/489630/capsule_sm_120.jpg?t=1547564532
Pummel Party,Very Positive<br>84% of the 804 user reviews for this game are positive.,https://store.steampowered.com/app/880940/Pummel_Party/?snr=1_7_7_204_150_1,-34%,¥ 50,"20 Sep, 2018",https://media.st.dl.bscstorage.net/steam/apps/880940/capsule_sm_120.jpg?t=1545368490
Stick Fight: The Game,"Very Positive<br>89% of the 20,886 user reviews for this game are positive.",https://store.steampowered.com/app/674940/Stick_Fight_The_Game/?snr=1_7_7_204_150_1,-29%,¥ 21,"28 Sep, 2017",https://media.st.dl.bscstorage.net/steam/apps/674940/capsule_sm_120.jpg?t=1545315419
Niche - a genetics survival game,"Very Positive<br>88% of the 1,805 user reviews for this game are positive.",https://store.steampowered.com/app/440650/Niche__a_genetics_survival_game/?snr=1_7_7_204_150_1,-67%,¥ 60,"21 Sep, 2017",https://media.st.dl.bscstorage.net/steam/apps/440650/capsule_sm_120.jpg?t=1547660128
了不起的修仙模拟器,"Mixed<br>57% of the 1,676 user reviews for this game are positive.",https://store.steampowered.com/app/955900/_/?snr=1_7_7_204_150_1,-6%,¥ 68,"10 Jan, 2019",https://media.st.dl.bscstorage.net/steam/apps/955900/capsule_sm_120.jpg?t=1547367353
Battlefleet Gothic: Armada 2,,https://store.steampowered.com/app/573100/Battlefleet_Gothic_Armada_2/?snr=1_7_7_204_150_1,-10%,¥ 128,"24 Jan, 2019",https://media.st.dl.bscstorage.net/steam/apps/573100/capsule_sm_120.jpg?t=1547652396
Tomb Raider,"Overwhelmingly Positive<br>95% of the 73,193 user reviews for this game are positive.",https://store.steampowered.com/app/203160/Tomb_Raider/?snr=1_7_7_204_150_1,-85%,¥ 68,"4 Mar, 2013",https://media.st.dl.bscstorage.net/steam/apps/203160/capsule_sm_120.jpg?t=1536940808
American Truck Simulator,"Very Positive<br>91% of the 19,883 user reviews for this game are positive.",https://store.steampowered.com/app/270880/American_Truck_Simulator/?snr=1_7_7_204_150_1,-76%,¥ 99,"2 Feb, 2016",https://media.st.dl.bscstorage.net/steam/apps/270880/capsule_sm_120.jpg?t=1547485111
Murdered: Soul Suspect,"Very Positive<br>85% of the 5,262 user reviews for this game are positive.",https://store.steampowered.com/app/233290/Murdered_Soul_Suspect/?snr=1_7_7_204_150_1,-91%,¥ 119,"3 Jun, 2014",https://media.st.dl.bscstorage.net/steam/apps/233290/capsule_sm_120.jpg?t=1503075903
Thief Simulator,"Mostly Positive<br>79% of the 1,705 user reviews for this game are positive.",https://store.steampowered.com/app/704850/Thief_Simulator/?snr=1_7_7_204_150_1,-26%,¥ 70,"9 Nov, 2018",https://media.st.dl.bscstorage.net/steam/apps/704850/capsule_sm_120.jpg?t=1545383128
Sleeping Dogs: Definitive Edition,"Very Positive<br>88% of the 13,836 user reviews for this game are positive.",https://store.steampowered.com/app/307690/Sleeping_Dogs_Definitive_Edition/?snr=1_7_7_204_150_1,-85%,¥ 88,"14 Oct, 2014",https://media.st.dl.bscstorage.net/steam/apps/307690/capsule_sm_120.jpg?t=1479335030
Deus Ex: Mankind Divided,"Mixed<br>68% of the 14,456 user reviews for this game are positive.",https://store.steampowered.com/app/337000/Deus_Ex_Mankind_Divided/?snr=1_7_7_204_150_1,-85%,¥ 160,"23 Aug, 2016",https://media.st.dl.bscstorage.net/steam/apps/337000/capsule_sm_120.jpg?t=1513077042
"Warhammer 40,000: Gladius Complete Edition",Mostly Positive<br>78% of the 989 user reviews for games in this bundle are positive.,https://store.steampowered.com/bundle/9211/Warhammer_40000_Gladius_Complete_Edition/?snr=1_7_7_204_150_1,-29%,¥ 236,,https://media.st.dl.bscstorage.net/steam/bundles/9211/seotwyp6z1yjpflq/capsule_sm_120.jpg?t=1547484533
Shadow of the Tomb Raider Croft Edition,"Mostly Positive<br>71% of the 8,843 user reviews for games in this bundle are positive.",https://store.steampowered.com/bundle/6973/Shadow_of_the_Tomb_Raider_Croft_Edition/?snr=1_7_7_204_150_1,-56%,¥ 692,,https://media.st.dl.bscstorage.net/steam/bundles/6973/8e1rvdog9j3w16jx/capsule_sm_120.jpg?t=1546514287
Just Cause 3 XXL Edition,"Mostly Positive<br>73% of the 36,074 user reviews for games in this bundle are positive.",https://store.steampowered.com/bundle/7598/Just_Cause_3_XXL_Edition/?snr=1_7_7_204_150_1,-87%,¥ 349,,https://media.st.dl.bscstorage.net/steam/bundles/7598/qgol10m1sn6f6pyr/capsule_sm_120.jpg?t=1542038958
Euro Truck Simulator 2 Essentials,"Overwhelmingly Positive<br>96% of the 133,719 user reviews for games in this bundle are positive.",https://store.steampowered.com/bundle/1923/Euro_Truck_Simulator_2_Essentials/?snr=1_7_7_204_150_1,-77%,¥ 296,,https://media.st.dl.bscstorage.net/steam/bundles/1923/hxbutxuvno2u8duj/capsule_sm_120.jpg?t=1479770978
Life is Strange: Before the Storm,"Very Positive<br>93% of the 19,944 user reviews for this game are positive.",https://store.steampowered.com/app/554620/Life_is_Strange_Before_the_Storm/?snr=1_7_7_204_150_1,-71%,¥ 58,"31 Aug, 2017",https://media.st.dl.bscstorage.net/steam/apps/554620/capsule_sm_120.jpg?t=1538148478
Thief,"Mostly Positive<br>70% of the 9,088 user reviews for this game are positive.",https://store.steampowered.com/app/239160/Thief/?snr=1_7_7_204_150_1,-85%,¥ 88,"24 Feb, 2014",https://media.st.dl.bscstorage.net/steam/apps/239160/capsule_sm_120.jpg?t=1530655519
Shadow Tactics: Blades of the Shogun,"Overwhelmingly Positive<br>95% of the 6,468 user reviews for this game are positive.",https://store.steampowered.com/app/418240/Shadow_Tactics_Blades_of_the_Shogun/?snr=1_7_7_204_150_1,-60%,¥ 115,"6 Dec, 2016",https://media.st.dl.bscstorage.net/steam/apps/418240/capsule_sm_120.jpg?t=1547119068
Just Cause 2,"Very Positive<br>90% of the 27,022 user reviews for this game are positive.",https://store.steampowered.com/app/8190/Just_Cause_2/?snr=1_7_7_204_150_1,-92%,¥ 48,"23 Mar, 2010",https://media.st.dl.bscstorage.net/steam/apps/8190/capsule_sm_120.jpg?t=1543946597
